strain,Sequencing_technology,Primers_used,simple_strain,Primers
Zimbabwe/CERI-KRISP-K011638/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011638,
Zimbabwe/CERI-KRISP-K011639/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011639,
Zimbabwe/CERI-KRISP-K011640/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011640,
Zimbabwe/CERI-KRISP-K011641/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011641,
Zimbabwe/CERI-KRISP-K011642/2020,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011642,
Zimbabwe/CERI-KRISP-K011643/2020,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011643,
Zimbabwe/CERI-KRISP-K011644/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011644,
Zimbabwe/CERI-KRISP-K011645/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011645,
Zimbabwe/CERI-KRISP-K011646/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011646,
Zimbabwe/CERI-KRISP-K011647/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011647,
Zimbabwe/CERI-KRISP-K011648/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011648,
Zimbabwe/CERI-KRISP-K011649/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011649,
Zimbabwe/CERI-KRISP-K011650/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011650,
Zimbabwe/CERI-KRISP-K011651/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011651,
Zimbabwe/CERI-KRISP-K011652/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011652,
Zimbabwe/CERI-KRISP-K011653/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011653,
Zimbabwe/CERI-KRISP-K011654/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011654,
Zimbabwe/CERI-KRISP-K011655/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011655,
Zimbabwe/CERI-KRISP-K011656/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011656,
Zimbabwe/CERI-KRISP-K011657/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011657,
Zimbabwe/CERI-KRISP-K011658/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011658,
Zimbabwe/CERI-KRISP-K011659/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011659,
Zimbabwe/CERI-KRISP-K011660/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011660,
Zimbabwe/CERI-KRISP-K011661/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011661,
Zimbabwe/CERI-KRISP-K011662/2020,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011662,
Zimbabwe/CERI-KRISP-K011663/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011663,
Zimbabwe/CERI-KRISP-K011664/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011664,
Zimbabwe/CERI-KRISP-K011665/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011665,
Zimbabwe/CERI-KRISP-K011666/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011666,
Zimbabwe/CERI-KRISP-K011667/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011667,
Zimbabwe/CERI-KRISP-K011668/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011668,
Zimbabwe/CERI-KRISP-K011669/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011669,
Zimbabwe/CERI-KRISP-K011670/2020,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011670,
Zimbabwe/CERI-KRISP-K011671/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011671,
Zimbabwe/CERI-KRISP-K011673/2020,Illumina Miseq,ARTIC_V3,CERI-KRISP-K011673,
Zimbabwe/CERI-KRISP-K021322/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021322,
Zimbabwe/CERI-KRISP-K021323/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021323,
Zimbabwe/CERI-KRISP-K021324/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021324,
Zimbabwe/CERI-KRISP-K021325/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021325,
Zimbabwe/CERI-KRISP-K021326/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021326,
Zimbabwe/CERI-KRISP-K021327/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021327,
Zimbabwe/CERI-KRISP-K021329/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021329,
Zimbabwe/CERI-KRISP-K021330/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021330,
Zimbabwe/CERI-KRISP-K021331/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021331,
Zimbabwe/CERI-KRISP-K021332/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021332,
Zimbabwe/CERI-KRISP-K021334/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021334,
Zimbabwe/CERI-KRISP-K021335/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021335,
Zimbabwe/CERI-KRISP-K021337/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021337,
Zimbabwe/CERI-KRISP-K021338/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021338,
Zimbabwe/CERI-KRISP-K021339/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021339,
Zimbabwe/CERI-KRISP-K021340/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021340,
Zimbabwe/CERI-KRISP-K021341/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021341,
Zimbabwe/CERI-KRISP-K021342/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021342,
Zimbabwe/CERI-KRISP-K021343/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021343,
Zimbabwe/CERI-KRISP-K021344/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021344,
Zimbabwe/CERI-KRISP-K021345/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021345,
Zimbabwe/CERI-KRISP-K021346/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021346,
Zimbabwe/CERI-KRISP-K021348/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021348,
Zimbabwe/CERI-KRISP-K021349/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021349,
Zimbabwe/CERI-KRISP-K021350/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021350,
Zimbabwe/CERI-KRISP-K021351/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021351,
Zimbabwe/CERI-KRISP-K021353/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021353,
Zimbabwe/CERI-KRISP-K021354/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021354,
Zimbabwe/CERI-KRISP-K021355/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021355,
Zimbabwe/CERI-KRISP-K021356/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021356,
Zimbabwe/CERI-KRISP-K021358/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021358,
Zimbabwe/CERI-KRISP-K021359/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021359,
Zimbabwe/CERI-KRISP-K021360/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021360,
Zimbabwe/CERI-KRISP-K021361/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021361,
Zimbabwe/CERI-KRISP-K021363/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021363,
Zimbabwe/CERI-KRISP-K021364/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021364,
Zimbabwe/CERI-KRISP-K021365/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021365,
Zimbabwe/CERI-KRISP-K021367/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021367,
Zimbabwe/CERI-KRISP-K021368/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021368,
Zimbabwe/CERI-KRISP-K021375/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021375,
Zimbabwe/CERI-KRISP-K021377/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021377,
Zimbabwe/CERI-KRISP-K021378/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021378,
Zimbabwe/CERI-KRISP-K021379/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021379,
Zimbabwe/CERI-KRISP-K021380/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021380,
Zimbabwe/CERI-KRISP-K021381/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021381,
Zimbabwe/CERI-KRISP-K021383/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021383,
Zimbabwe/CERI-KRISP-K021384/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021384,
Zimbabwe/CERI-KRISP-K021386/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021386,
Zimbabwe/CERI-KRISP-K021387/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021387,
Zimbabwe/CERI-KRISP-K021388/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021388,
Zimbabwe/CERI-KRISP-K021389/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021389,
Zimbabwe/CERI-KRISP-K021393/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021393,
Zimbabwe/CERI-KRISP-K021394/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021394,
Zimbabwe/CERI-KRISP-K021395/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021395,
Zimbabwe/CERI-KRISP-K021396/2021,Illumina MiSeq,ARTIC_V3,CERI-KRISP-K021396,
Zimbabwe/CERI-KRISP-K021496/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021496,
Zimbabwe/CERI-KRISP-K021498/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021498,
Zimbabwe/CERI-KRISP-K021499/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021499,
Zimbabwe/CERI-KRISP-K021500/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021500,
Zimbabwe/CERI-KRISP-K021501/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021501,
Zimbabwe/CERI-KRISP-K021507/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021507,
Zimbabwe/CERI-KRISP-K021510/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021510,
Zimbabwe/CERI-KRISP-K021514/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021514,
Zimbabwe/CERI-KRISP-K021515/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021515,
Zimbabwe/CERI-KRISP-K021516/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021516,
Zimbabwe/CERI-KRISP-K021523/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021523,
Zimbabwe/CERI-KRISP-K021524/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021524,
Zimbabwe/CERI-KRISP-K021525/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021525,
Zimbabwe/CERI-KRISP-K021526/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021526,
Zimbabwe/CERI-KRISP-K021527/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021527,
Zimbabwe/CERI-KRISP-K021529/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021529,
Zimbabwe/CERI-KRISP-K021531/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021531,
Zimbabwe/CERI-KRISP-K021533/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021533,
Zimbabwe/CERI-KRISP-K021534/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021534,
Zimbabwe/CERI-KRISP-K021539/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021539,
Zimbabwe/CERI-KRISP-K021540/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021540,
Zimbabwe/CERI-KRISP-K021541/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021541,
Zimbabwe/CERI-KRISP-K021542/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021542,
Zimbabwe/CERI-KRISP-K021543/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021543,
Zimbabwe/CERI-KRISP-K021544/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021544,
Zimbabwe/CERI-KRISP-K021545/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021545,
Zimbabwe/CERI-KRISP-K021546/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021546,
Zimbabwe/CERI-KRISP-K021548/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021548,
Zimbabwe/CERI-KRISP-K021549/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021549,
Zimbabwe/CERI-KRISP-K021550/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021550,
Zimbabwe/CERI-KRISP-K021551/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021551,
Zimbabwe/CERI-KRISP-K021552/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021552,
Zimbabwe/CERI-KRISP-K021553/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021553,
Zimbabwe/CERI-KRISP-K021554/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021554,
Zimbabwe/CERI-KRISP-K021555/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021555,
Zimbabwe/CERI-KRISP-K021556/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021556,
Zimbabwe/CERI-KRISP-K021557/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021557,
Zimbabwe/CERI-KRISP-K021559/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021559,
Zimbabwe/CERI-KRISP-K021560/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021560,
Zimbabwe/CERI-KRISP-K021563/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021563,
Zimbabwe/CERI-KRISP-K021564/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021564,
Zimbabwe/CERI-KRISP-K021565/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021565,
Zimbabwe/CERI-KRISP-K021566/2021,Illumina Miseq,ARTIC_V3,CERI-KRISP-K021566,
Egypt/CCHE57357_Wave_3_A001/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A001,
Egypt/CCHE57357_Wave_3_A002/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A002,
Egypt/CCHE57357_Wave_3_A003/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A003,
Egypt/CCHE57357_Wave_3_A004/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A004,
Egypt/CCHE57357_Wave_3_A006/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A006,
Egypt/CCHE57357_Wave_3_A007/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A007,
Egypt/CCHE57357_Wave_3_A008/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A008,
Egypt/CCHE57357_Wave_3_A012/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A012,
Egypt/CCHE57357_Wave_3_A013/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A013,
Egypt/CCHE57357_Wave_3_A015/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A015,
Egypt/CCHE57357_Wave_3_A016/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A016,
Egypt/CCHE57357_Wave_3_A017/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A017,
Egypt/CCHE57357_Wave_3_A018/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A018,
Egypt/CCHE57357_Wave_3_A019/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A019,
Egypt/CCHE57357_Wave_3_A020/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A020,
Egypt/CCHE57357_Wave_3_A021/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A021,
Egypt/CCHE57357_Wave_3_A022/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A022,
Egypt/CCHE57357_Wave_3_A024/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A024,
Egypt/CCHE57357_Wave_3_A025/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A025,
Egypt/CCHE57357_Wave_3_A028/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A028,
Egypt/CCHE57357_Wave_3_A029/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A029,
Egypt/CCHE57357_Wave_3_A030/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A030,
Egypt/CCHE57357_Wave_3_A032/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A032,
Egypt/CCHE57357_Wave_3_A033/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A033,
Egypt/CCHE57357_Wave_3_A036/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A036,
Egypt/CCHE57357_Wave_3_A038/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A038,
Egypt/CCHE57357_Wave_3_A039/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A039,
Egypt/CCHE57357_Wave_3_A040/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A040,
Egypt/CCHE57357_Wave_3_A041/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A041,
Egypt/CCHE57357_Wave_3_A043/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A043,
Egypt/CCHE57357_Wave_3_A044/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A044,
Egypt/CCHE57357_Wave_3_A045/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A045,
Egypt/CCHE57357_Wave_3_A047/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A047,
Egypt/CCHE57357_Wave_3_A049/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A049,
Egypt/CCHE57357_Wave_3_A050/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A050,
Egypt/CCHE57357_Wave_3_A051/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A051,
Egypt/CCHE57357_Wave_3_A053/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A053,
Egypt/CCHE57357_Wave_3_A054/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A054,
Egypt/CCHE57357_Wave_3_A055/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A055,
Egypt/CCHE57357_Wave_3_A057/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A057,
Egypt/CCHE57357_Wave_3_A058/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A058,
Egypt/CCHE57357_Wave_3_A059/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A059,
Egypt/CCHE57357_Wave_3_A063/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A063,
Egypt/CCHE57357_Wave_3_A064/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A064,
Egypt/CCHE57357_Wave_3_A066/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A066,
Egypt/CCHE57357_Wave_3_A067/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A067,
Egypt/CCHE57357_Wave_3_A068/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A068,
Egypt/CCHE57357_Wave_3_A069/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A069,
Egypt/CCHE57357_Wave_3_A070/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A070,
Egypt/CCHE57357_Wave_3_A073/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A073,
Egypt/CCHE57357_Wave_3_A074/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A074,
Egypt/CCHE57357_Wave_3_A_005/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A_005,
Egypt/CCHE57357_Wave_3_A_009/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A_009,
Egypt/CCHE57357_Wave_3_A_011/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A_011,
Egypt/CCHE57357_Wave_3_A_023/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A_023,
Egypt/CCHE57357_Wave_3_A_026/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A_026,
Egypt/CCHE57357_Wave_3_A_027/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A_027,
Egypt/CCHE57357_Wave_3_A_035/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A_035,
Egypt/CCHE57357_Wave_3_A_037/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A_037,
Egypt/CCHE57357_Wave_3_A_048/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A_048,
Egypt/CCHE57357_Wave_3_A_052/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A_052,
Egypt/CCHE57357_Wave_3_A_056/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A_056,
Egypt/CCHE57357_Wave_3_A_060/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A_060,
Egypt/CCHE57357_Wave_3_A_072/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A_072,
Egypt/CCHE57357_Wave_3_A_076/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_3_A_076,
Egypt/CCHE57357_Wave_4_070/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_070,
Egypt/CCHE57357_Wave_4_071/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_071,
Egypt/CCHE57357_Wave_4_072/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_072,
Egypt/CCHE57357_Wave_4_073/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_073,
Egypt/CCHE57357_Wave_4_074/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_074,
Egypt/CCHE57357_Wave_4_075/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_075,
Egypt/CCHE57357_Wave_4_076/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_076,
Egypt/CCHE57357_Wave_4_077/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_077,
Egypt/CCHE57357_Wave_4_078/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_078,
Egypt/CCHE57357_Wave_4_079/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_079,
Egypt/CCHE57357_Wave_4_080/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_080,
Egypt/CCHE57357_Wave_4_081/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_081,
Egypt/CCHE57357_Wave_4_082/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_082,
Egypt/CCHE57357_Wave_4_083/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_083,
Egypt/CCHE57357_Wave_4_084/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_084,
Egypt/CCHE57357_Wave_4_085/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_085,
Egypt/CCHE57357_Wave_4_086/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_086,
Egypt/CCHE57357_Wave_4_087/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_087,
Egypt/CCHE57357_Wave_4_088/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_088,
Egypt/CCHE57357_Wave_4_089/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_089,
Egypt/CCHE57357_Wave_4_090/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_090,
Egypt/CCHE57357_Wave_4_091/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_091,
Egypt/CCHE57357_Wave_4_092/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_092,
Egypt/CCHE57357_Wave_4_093/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_093,
Egypt/CCHE57357_Wave_4_094/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_094,
Egypt/CCHE57357_Wave_4_095/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_095,
Egypt/CCHE57357_Wave_4_096/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_096,
Egypt/CCHE57357_Wave_4_097/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_097,
Egypt/CCHE57357_Wave_4_098/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_098,
Egypt/CCHE57357_Wave_4_099/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_099,
Egypt/CCHE57357_Wave_4_100/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_100,
Egypt/CCHE57357_Wave_4_101/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_101,
Egypt/CCHE57357_Wave_4_102/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_102,
Egypt/CCHE57357_Wave_4_103/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_103,
Egypt/CCHE57357_Wave_4_104/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_104,
Egypt/CCHE57357_Wave_4_105/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_105,
Egypt/CCHE57357_Wave_4_106/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_106,
Egypt/CCHE57357_Wave_4_107/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_107,
Egypt/CCHE57357_Wave_4_108/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_108,
Egypt/CCHE57357_Wave_4_109/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_109,
Egypt/CCHE57357_Wave_4_110/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_110,
Egypt/CCHE57357_Wave_4_111/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_111,
Egypt/CCHE57357_Wave_4_112/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_112,
Egypt/CCHE57357_Wave_4_113/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_113,
Egypt/CCHE57357_Wave_4_114/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_114,
Egypt/CCHE57357_Wave_4_115/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_115,
Egypt/CCHE57357_Wave_4_116/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_116,
Egypt/CCHE57357_Wave_4_117/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_117,
Egypt/CCHE57357_Wave_4_118/2021,Illumina MiSeq,AviSeq,CCHE57357_Wave_4_118,
